city,total_orders,total_revenue
BENGALURU,10675,6845390.65
HYDERABAD,7608,4946394.25
MUMBAI,5865,3701843.04
NEW DELHI,5446,3612512.78
CHENNAI,5139,3103415.74
PUNE,3663,2342011.18
KOLKATA,2243,1413603.87
GURUGRAM,1780,1220562.74
THANE,1607,1004503.29
LUCKNOW,1358,938076.34
NOIDA,1346,912543.98
GHAZIABAD,1256,835545.35
AHMEDABAD,1173,766744.7
NAVI MUMBAI,1184,754836.81
JAIPUR,876,596011.22
Hyderabad,857,568998.95
Mumbai,826,518934.89
PATNA,707,497752.05
FARIDABAD,667,457795.5
BHUBANESWAR,657,457102.4
VISAKHAPATNAM,715,451735.62
Bangalore,705,440858.62
Chennai,706,435517.67
COIMBATORE,713,422382.87
PIMPRI CHINCHWAD,679,417958.91
GUWAHATI,635,408139.23
Bengaluru,629,401238.81
Pune,631,399597.61
NAGPUR,592,383580.7
VADODARA,579,382692.7
THIRUVANANTHAPURAM,597,365516.43
DEHRADUN,519,352361.55
BANGALORE,529,339758.71
GREATER NOIDA,470,338934.72
KANPUR,479,327869.36
INDORE,471,305030.48
KALYAN,473,292498.15
BHOPAL,432,291985.27
SECUNDERABAD,426,276988.2
RANCHI,395,267588.73
VIJAYAWADA,411,263645.18
New Delhi,413,263495.99
SURAT,369,240742.82
MYSURU,374,240495.79
ERNAKULAM,386,237174.16
Kolkata,380,234166.83
GUNTUR,348,232477.45
MANGALURU,337,225364.94
VARANASI,319,222461.09
NASHIK,311,205417.8
VASAI VIRAR,305,185864.18
CHANDIGARH,275,182949.05
ALLAHABAD,268,181008.3
MOHALI,247,174993.95
JAMSHEDPUR,261,172093.44
JAMMU,240,156578.87
GORAKHPUR,214,148285.01
NEW TOWN,218,147581.91
AGRA,208,145265.73
MEERUT,208,144223.94
NELLORE,232,142463.77
IMPHAL,196,139250.04
PUDUCHERRY,226,132181.86
JALANDHAR,179,131959.66
LUDHIANA,202,128340.04
MADURAI,221,127250.87
RAIPUR,191,124128.34
TIRUPATI,202,123906.89
Noida,190,122607.03
PALAKKAD,197,116953.81
JABALPUR,169,115216.94
Ahmedabad,184,115182.86
KOZHIKODE,185,114847.15
DIMAPUR,137,114200.52
Delhi,177,114163.81
CUTTACK,163,112634.2
RAJKOT,172,109732.0
SRINAGAR,147,109380.81
Gurgaon,161,109168.11
THRISSUR,170,108384.86
UDAIPUR,162,105750.56
WARANGAL,162,105314.57
HOWRAH,170,103528.8
Thane,161,102825.06
GURGAON,148,101714.09
TIRUCHIRAPPALLI,173,99767.58
JODHPUR,137,99211.25
Lucknow,139,98348.52
SILIGURI,149,98228.25
BAREILLY,136,96954.03
KOCHI,146,96808.34
UDUPI,147,96687.48
SHIMLA,123,95303.28
Ghaziabad,138,94065.78
AURANGABAD,157,93340.1
GWALIOR,137,92188.91
KOTTAYAM,147,91370.44
ZIRAKPUR,131,90383.44
KAKINADA,137,90317.92
Secunderabad,136,88822.75
HUBBALLI,134,86604.8
ANANTAPUR,127,85558.83
SALEM,133,84411.2
PORT BLAIR,127,81449.44
Haldwani,118,81232.0
AMRITSAR,128,80721.01
VELLORE,136,80129.86
PANCHKULA,112,79617.19
hyderabad,120,78048.58
BELAGAVI,116,77933.86
DURGAPUR,121,77452.49
DELHI,119,77086.27
PATHANAMTHITTA,123,76904.34
KOLHAPUR,113,74040.07
ALIGARH,103,73251.57
BILASPUR,104,72809.24
KARIMNAGAR,103,71578.71
chennai,120,70445.53
KOLLAM,120,68821.58
CHITTOOR,102,67002.56
SONIPAT,101,66534.0
MUZAFFARPUR,91,65948.85
SOLAPUR,91,65926.0
BOKARO STEEL CITY,88,65072.97
RAJAHMUNDRY,107,64916.52
GANDHINAGAR,101,64789.52
Faridabad,103,64214.52
mumbai,107,64055.47
BIDHAN NAGAR,104,64004.53
SHILLONG,109,63871.7
BHILAI,105,63301.0
KOTA,95,62727.15
Jaipur,91,62242.14
ROURKELA,86,62060.22
Coimbatore,104,60819.81
KURNOOL,94,60317.57
Navi Mumbai,91,59988.1
Nagpur,96,59253.81
Vadodara,86,58836.52
pune,94,58722.48
AMBARNATH,91,58534.43
DHANBAD,84,58421.22
JHANSI,84,58276.14
AGARTALA,88,57874.95
Ernakulam,95,57591.16
Gurugram,82,57313.04
BERHAMPUR,85,57143.62
Thrissur,91,56614.37
AJMER,78,56246.65
TUMAKURU,91,55998.24
VASCO DA GAMA,89,54725.0
PATIALA,87,52345.68
KANNUR,83,52294.29
Visakhapatnam,76,50894.47
VIZIANAGARAM,81,50882.43
ASANSOL,80,50679.43
PANAJI,87,50663.57
KALABURGI,76,48517.48
MARGAO,89,48456.29
RAXAUL BAZAR,57,47706.88
KALAMASSERY,76,47694.63
LEH,53,47527.43
VAPI,66,47454.0
Dombivli,77,47336.0
AMRAVATI,75,46428.68
KANCHIPURAM,83,46097.43
ALWAR,67,45524.0
Bhubaneswar,69,45144.47
DAVANAGERE,69,45136.43
BARASAT,67,44640.43
TIRUNELVELI,70,44232.05
BURDWAN,66,44048.96
Dehradun,64,42596.93
TIRUPPUR,69,42533.86
BHIWANDI,68,42458.86
ONGOLE,64,42086.340000000004
NAGERCOIL,75,41877.92
GAYA,56,41762.0
BADLAPUR,67,41679.33
DHARWAD,66,41385.0
MATHURA,64,41083.86
MORADABAD,64,41049.53
BIKANER,59,40539.8
PANIPAT,69,40413.9
bangalore,61,39927.02
KADAPA,66,39597.57
AMBALA,56,39376.0
SHIVAMOGGA,65,39266.19
ROORKEE,58,39154.0
ELURU,60,38961.11
HISAR,51,38886.76
ITANAGAR,55,38851.52
ROHTAK,58,38469.34
SATARA,74,38438.48
ALAPPUZHA,61,38381.38
AHMADNAGAR,56,38299.0
NIZAMABAD,60,37895.71
FAIZABAD,54,37852.82
SAHARANPUR,54,37793.77
Ranchi,56,37466.67
HOSUR,61,37190.05
KARNAL,51,36118.0
MANDI,48,35659.44
AIZAWL,62,35560.81
BHARUCH,53,35346.96
New delhi,55,35222.0
PRODDATUR,51,34943.71
HARIDWAR,55,34938.05
HASSAN,54,34767.11
BHAGALPUR,46,34590.87
Kakkanad,47,34415.0
DIBRUGARH,60,34194.24
SILCHAR,58,34148.71
ANAND,52,33883.62
PORVORIM,51,33810.19
YAMUNANAGAR,45,33626.81
MALAPPURAM,49,33468.72
SANGLI MIRAJ KUPWAD,52,33417.81
BIDAR,51,33374.76
JALGAON,47,33144.0
Rewari,44,32649.29
REWA,49,32632.0
UJJAIN,47,32485.14
KHARAGPUR,55,32410.72
BATHINDA,52,32395.95
Nashik,46,32326.0
SHAHJAHANPUR,49,32076.77
PUDUPAKKAM,45,31727.84
THRIPPUNITHURA,44,31726.0
THANJAVUR,49,31689.0
Kochi,43,31667.58
KHAMMAM,56,31629.57
new delhi,42,31589.43
MUZAFFARNAGAR,45,31517.91
JORHAT,50,31491.09
kolkata,51,31352.29
BHILWARA,42,30971.92
GANGTOK,42,30866.0
JAMNAGAR,52,30711.48
Patna,45,30695.38
MADHURAWADA,51,30601.15
BALLY,50,30410.72
GAUTAM BUDDHA NAGAR,50,30333.77
Guwahati,51,30291.42
Greater Noida,44,30229.0
RAIGARH,50,30198.0
Surat,48,30183.8
PITHORAGARH,44,30175.86
NANDIVARAM GUDUVANCHERI,47,29664.42
ERODE,48,29646.47
Indore,47,29566.29
AKOLA,46,29350.72
KANGRA,43,29348.760000000002
KALADHUNGI,41,29184.96
NANDED WAGHALA,46,29112.24
CHANDRAPUR,40,28921.57
PRAYAGRAJ,40,28567.0
BHIMAVARAM,42,28387.78
MAPUSA,52,28318.0
RISHIKESH,42,28188.33
SAGAR,43,28110.2
YAVATMAL,38,27902.4
BETTIAH,36,27832.89
THIRUVALLA,47,27828.19
TEZPUR,40,27720.04
DURG,41,27624.03
SRIKAKULAM,46,27404.29
SULTANPUR,36,27158.97
SAMBALPUR,36,27101.79
TURA,38,26911.05
SIBSAGAR,38,26825.0
BHIWADI,41,26797.95
MALDA,39,26729.48
CHIKKAMAGALURU,38,26492.19
VIJAPURA,34,26489.48
SOLAN,34,26464.0
